Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0141165384615385,1.92116548051542E-18,0.0069190520362904,0,0,0,0.563365165980808,0.00116991160584325,1.08541480873037E-19,-1.21271091266427E-20,0.000379959750479481,2.37730438953325E-20,0.00131589792050722,0,0,0,0,0,0,package://4_WHEELER_NESTED_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://4_WHEELER_NESTED_description/meshes/base_link.STL,,4_WHEELER_CHASSIS-1;4_WHEELER_WHEEL_DRIVER-1/4_WHEELER_WHEEL_CONNECTOR-1;4_WHEELER_WHEEL_DRIVER-2/4_WHEELER_WHEEL_CONNECTOR-1;4_WHEELER_WHEEL_DRIVER-3/4_WHEELER_WHEEL_CONNECTOR-1;4_WHEELER_WHEEL_DRIVER-4/4_WHEELER_WHEEL_CONNECTOR-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
front_right_link,0.0160973084886128,-1.21430643318376E-17,-2.08166817117217E-17,0,0,0,0.0948368282302419,4.90180492807281E-05,1.59355527597186E-21,-5.57899635461016E-22,2.67081223942584E-05,1.35119091414065E-21,2.67081223942584E-05,0,0,0,0,0,0,package://4_WHEELER_NESTED_description/meshes/front_right_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4_WHEELER_NESTED_description/meshes/front_right_link.STL,,4_WHEELER_WHEEL_DRIVER-2/4_WHEEL_DUAL_WHEEL-1,Origin_front_right_joint,Axis_front_right_joint,front_right_joint,continuous,-0.0516165384615384,-0.05,-0.00997411961288419,1.5707963267949,0,3.14159265358979,base_link,1,0,0,,,,,,,,,,,,0
back_right_link,0.0160973084886128,1.21430643318376E-17,-6.93889390390723E-18,0,0,0,0.0948368282302419,4.90180492807281E-05,1.02975700590794E-22,2.17716963245722E-22,2.67081223942584E-05,-2.11467000306239E-21,2.67081223942584E-05,0,0,0,0,0,0,package://4_WHEELER_NESTED_description/meshes/back_right_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4_WHEELER_NESTED_description/meshes/back_right_link.STL,,4_WHEELER_WHEEL_DRIVER-1/4_WHEEL_DUAL_WHEEL-1,Origin_back_right_joint,Axis_back_right_joint,back_right_joint,continuous,-0.0516165384615384,0.05,-0.00997411961288421,1.5707963267949,0,3.14159265358979,base_link,1,0,0,,,,,,,,,,,,0
front_left_link,0.0160973084886128,5.20417042793042E-18,-2.08166817117217E-17,0,0,0,0.0948368282302419,4.90180492807281E-05,7.5311181916667E-23,1.07045414697907E-22,2.67081223942584E-05,2.12254491328202E-22,2.67081223942584E-05,0,0,0,0,0,0,package://4_WHEELER_NESTED_description/meshes/front_left_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4_WHEELER_NESTED_description/meshes/front_left_link.STL,,4_WHEELER_WHEEL_DRIVER-4/4_WHEEL_DUAL_WHEEL-1,Origin_front_left_joint,Axis_front_left_joint,front_left_joint,continuous,0.0233834615384615,-0.05,-0.0099741196128842,1.5707963267949,0,0,base_link,-1,0,0,,,,,,,,,,,,0
back_left_link,0.0160973084886128,6.93889390390723E-18,6.93889390390723E-18,0,0,0,0.0948368282302419,4.90180492807281E-05,-5.66724053795126E-22,-4.24781852640203E-22,2.67081223942584E-05,5.0340698813362E-22,2.67081223942584E-05,0,0,0,0,0,0,package://4_WHEELER_NESTED_description/meshes/back_left_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4_WHEELER_NESTED_description/meshes/back_left_link.STL,,4_WHEELER_WHEEL_DRIVER-3/4_WHEEL_DUAL_WHEEL-1,Origin_back_left_joint,Axis_back_left_joint,back_left_joint,continuous,0.0233834615384615,0.05,-0.00997411961288421,1.5707963267949,0,0,base_link,-1,0,0,,,,,,,,,,,,0
