Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00249115384615384,2.34558007901714E-18,0.00305587412587413,0,0,0,0.0510508806208341,3.5234044049786E-05,6.98466777397284E-37,-2.22339710804804E-37,3.5234044049786E-05,-5.44519126841819E-22,6.24882413753095E-05,0,0,0,0,0,0,package://3_DOF_ARM_description/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3_DOF_ARM_description/meshes/base_link.STL,,3_DOF_ARM_BASE-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
prox_link,6.94771684018737E-10,-0.0881460587278585,2.58403333886631E-10,0,0,0,0.132570921155528,0.000425622211946537,7.66166107697545E-12,1.12207653869985E-10,6.78913907046572E-05,2.10847233866869E-12,0.000427554426874909,0,0,0,0,0,0,package://3_DOF_ARM_description/meshes/prox_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3_DOF_ARM_description/meshes/prox_link.STL,,3_DOF_ARM_SEGMENT-1,Origin_prox_joint,Axis_prox_joint,prox_joint,continuous,0.00249115384615384,0,0,-1.5707963267949,0,-1.5707963267949,base_link,0,1,0,,,,,,,,,,,,0
dist_Link,6.94771724770697E-10,-0.101063661551862,-2.58403354269632E-10,0,0,0,0.132570921155528,0.000425622211946537,-7.66166112117889E-12,-1.12207653890081E-10,6.78913907046571E-05,2.10847240386709E-12,0.000427554426874909,0,0,0,0,0,0,package://3_DOF_ARM_description/meshes/dist_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3_DOF_ARM_description/meshes/dist_Link.STL,,3_DOF_ARM_SEGMENT-2,Origin_dist_joint,Axis_dist_joint,dist_joint,continuous,0,-0.18920972027972,0,-1.5707963267949,0,0,prox_link,-1,0,0,,,,,,,,,,,,0
effector_link,7.89909498403104E-17,-1.94289029309402E-16,0.0118918918918916,0,0,0,0.0290597320457048,4.42470815817501E-06,1.74806527887155E-21,-1.05670524275547E-20,4.424708158175E-06,4.84594662178836E-20,5.90275807178375E-06,0,0,0,0,0,0,package://3_DOF_ARM_description/meshes/effector_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://3_DOF_ARM_description/meshes/effector_link.STL,,3_DOF_ARM_END_EFFECTOR-1,Origin_effector_joint,Axis_effector_joint,effector_joint,continuous,0,-0.18,0,1.5707963267949,0,0,dist_Link,0,0,-1,,,,,,,,,,,,0
